Id,Title,StaringActorId,StaringActor,ActorAgeGapId,AgeGapDefinition,WriterId,Writer,Genres,GenreId,NumberOfVotes,Rating,Success
3928,Point Break,13127,Patrick Swayze,4,30s,18941,Rick King,Action,15,133443,7.2,0
3929,Robin Hood: Prince of Thieves,12589,Kevin Costner,4,30s,227158,Pen Densham,Action,15,162316,6.9,0
3930,The Silence of the Lambs,12612,Jodie Foster,5,20s,345641,Thomas Harris,Crime,14,1085373,8.6,1
3931,Terminator 2: Judgment Day,12679,Arnold Schwarzenegger,3,40s,12579,James Cameron,Action,15,876511,8.5,1
3932,Thelma & Louise,12678,Susan Sarandon,3,40s,442659,Callie Khouri,Adventure,10,118195,7.4,1
3933,Aladdin,870622,Scott Weinger,6,teenager,593499,John Musker,Adventure,10,308494,8.0,1
3934,AlienÂ³,12707,Sigourney Weaver,3,40s,623984,Dan O'Bannon,Action,15,247839,6.4,0
3935,Basic Instinct,12603,Michael Douglas,3,40s,12853,Joe Eszterhas,Drama,1,152544,6.9,0
3936,Batman Returns,12937,Michael Keaton,3,40s,18625,Bob Kane,Action,15,246023,7.0,0
3937,The Bodyguard,12589,Kevin Costner,4,30s,12014,Lawrence Kasdan,Drama,1,105021,6.2,0
3938,Dracula,12661,Gary Oldman,4,30s,780583,Bram Stoker,Horror,18,168394,7.5,1
3939,A Few Good Men,12592,Tom Cruise,5,20s,779305,Aaron Sorkin,Drama,1,208931,7.7,1
3940,Home Alone 2: Lost in New York,12809,Macaulay Culkin,6,teenager,12918,John Hughes,Adventure,10,249872,6.7,0
3941,The Last of the Mohicans,12821,Daniel Day-Lewis,4,30s,188309,James Fenimore Cooper,Action,15,132381,7.8,1
3942,Lethal Weapon 3,12617,Mel Gibson,4,30s,104395,Jeffrey Boam,Action,15,142841,6.7,0
3943,Reservoir Dogs,12635,Harvey Keitel,2,50s,12696,Quentin Tarantino,Crime,14,794748,8.3,1
3944,Scent of a Woman,12662,Al Pacino,2,50s,38643,Giovanni Arpino,Drama,1,224996,8.0,1
3945,Unforgiven,12605,Clint Eastwood,1,+60s,644244,David Webb Peoples,Drama,1,330157,8.2,1
3946,Wayne's World,12659,Mike Myers,5,20s,12659,Mike Myers,Comedy,3,128849,7.0,0
3947,The X Files,12604,David Duchovny,4,30s,521446,Steven Maeda,Drama,1,178380,8.7,1
3948,Army of Darkness,144125,Bruce Campbell,4,30s,13063,Sam Raimi,Comedy,3,147779,7.6,1
3949,A Bronx Tale,12597,Robert De Niro,3,40s,12194,Chazz Palminteri,Crime,14,113198,7.8,1
3950,Carlito's Way,12662,Al Pacino,2,50s,823037,Edwin Torres,Crime,14,181665,7.9,1
3951,Cliffhanger,12693,Sylvester Stallone,3,40s,509883,John Long,Action,15,108220,6.4,0
3952,Dazed and Confused,509596,Jason London,5,20s,12963,Richard Linklater,Comedy,3,143325,7.7,1
3953,Demolition Man,12693,Sylvester Stallone,3,40s,24711,Peter M. Lenkov,Action,15,141249,6.6,0
3954,Mallrats,11751,Shannen Doherty,5,20s,20845,Kevin Smith,Comedy,3,107232,7.2,0
3955,Pocahontas,12617,Mel Gibson,4,30s,72003,Carl Binder,Adventure,10,145815,6.7,0
3956,Se7en,12614,Morgan Freeman,2,50s,12429,Andrew Kevin Walker,Crime,14,1236050,8.6,1
3957,Fight Club,12556,Brad Pitt,4,30s,630901,Chuck Palahniuk,Drama,1,1617370,8.8,1
3958,Shakespeare in Love,13032,Gwyneth Paltrow,5,20s,615406,Marc Norman,Comedy,3,197020,7.1,0
3959,Pi,339642,Sean Gullette,5,20s,16753,Darren Aronofsky,Drama,1,158139,7.4,1
3960,Cruel Intentions,11868,Sarah Michelle Gellar,5,20s,448262,Choderlos de Laclos,Drama,1,164832,6.8,0
3961,Training Day,12706,Denzel Washington,3,40s,55585,David Ayer,Crime,14,347571,7.7,1
3962,The Insider,12591,Russell Crowe,4,30s,112133,Marie Brenner,Biography,17,146995,7.9,1
3963,The Sopranos,11858,James Gandolfini,4,30s,160272,David Chase,Crime,14,238045,9.2,1
3964,Big Daddy,11795,Adam Sandler,4,30s,270131,Steve Franks,Comedy,3,180823,6.4,0
3965,The Ninth Gate,12599,Johnny Depp,4,30s,683474,Arturo PÃ©rez-Reverte,Mystery,8,151146,6.7,0
3966,The World Is Not Enough,12575,Pierce Brosnan,3,40s,662276,Neal Purvis,Action,15,172435,6.4,0
3967,American Psycho,12751,Christian Bale,5,20s,244557,Bret Easton Ellis,Crime,14,417514,7.6,1
3968,The Boondock Saints,12816,Willem Dafoe,3,40s,247495,Troy Duffy,Action,15,213982,7.8,1
3969,Spider-Man,12101,Tobey Maguire,5,20s,490611,Stan Lee,Action,15,621723,7.3,1
3970,Platoon,12684,Charlie Sheen,5,20s,12694,Oliver Stone,Drama,1,342332,8.1,1
3971,Stand by Me,13159,Wil Wheaton,6,teenager,12638,Stephen King,Adventure,10,324485,8.1,1
3972,TenkÃ» no shiro Rapyuta,12197,Anna Paquin,7,childhood,557781,Hayao Miyazaki,Adventure,10,122541,8.1,1
3973,Top Gun,12592,Tom Cruise,5,20s,145597,Jim Cash,Action,15,254272,6.9,0
3974,Dirty Dancing,13127,Patrick Swayze,4,30s,85495,Eleanor Bergstein,Drama,1,168144,6.9,0
3975,Empire of the Sun,12751,Christian Bale,6,teenager,12383,Tom Stoppard,Drama,1,103087,7.8,1
3976,Evil Dead II,144125,Bruce Campbell,5,20s,13063,Sam Raimi,Comedy,3,131933,7.8,1
3977,Full Metal Jacket,13009,Matthew Modine,5,20s,12503,Stanley Kubrick,Drama,1,587633,8.3,1
3978,"Good Morning, Vietnam",12708,Robin Williams,4,30s,512852,Mitch Markowitz,Biography,17,113506,7.3,1
3979,Lethal Weapon,12617,Mel Gibson,4,30s,11552,Shane Black,Action,15,214863,7.6,1
3980,The Lost Boys,13037,Jason Patric,5,20s,279288,Jan Fischer,Comedy,3,108296,7.3,1
3981,"Planes, Trains & Automobiles",12651,Steve Martin,3,40s,12918,John Hughes,Comedy,3,106561,7.6,1
3982,Predator,12679,Arnold Schwarzenegger,4,30s,820112,Jim Thomas,Action,15,336505,7.8,1
3983,The Princess Bride,12607,Cary Elwes,5,20s,11883,William Goldman,Adventure,10,347319,8.1,1
3984,Raising Arizona,12578,Nicolas Cage,5,20s,11657,Ethan Coen,Comedy,3,113603,7.4,1
3985,RoboCop,13156,Peter Weller,4,30s,586637,Edward Neumeier,Action,15,209304,7.6,1
3986,The Running Man,12679,Arnold Schwarzenegger,4,30s,12638,Stephen King,Action,15,127059,6.7,0
3987,Spaceballs,12779,Mel Brooks,1,+60s,12779,Mel Brooks,Adventure,10,154973,7.1,0
3988,The Untouchables,12589,Kevin Costner,4,30s,284041,Oscar Fraley,Crime,14,248451,7.9,1
3989,Wall Street,12684,Charlie Sheen,5,20s,24854,Stanley Weiser,Crime,14,131950,7.4,1
3990,Akira,390451,Mitsuo Iwata,5,20s,905293,Katsuhiro Ã”tomo,Action,15,132614,8.1,1
3991,Beetlejuice,12748,Alec Baldwin,5,20s,548886,Michael McDowell,Comedy,3,224004,7.5,1
3992,Big,12621,Tom Hanks,4,30s,14188,Gary Ross,Comedy,3,173371,7.3,1
3993,Coming to America,13015,Eddie Murphy,5,20s,13015,Eddie Murphy,Comedy,3,140855,7.0,0
3994,Die Hard,12709,Bruce Willis,4,30s,828000,Roderick Thorp,Action,15,696221,8.2,1
3995,A Fish Called Wanda,12555,John Cleese,3,40s,12555,John Cleese,Comedy,3,119791,7.6,1
3996,The Naked Gun: From the Files of Police Squad!,13021,Leslie Nielsen,1,+60s,907318,Jerry Zucker,Comedy,3,132559,7.6,1
3997,Nuovo Cinema Paradiso,618591,Philippe Noiret,2,50s,815174,Giuseppe Tornatore,Drama,1,192431,8.5,1
3998,Rain Man,12626,Dustin Hoffman,2,50s,593898,Barry Morrow,Drama,1,431320,8.0,1
3999,Rambo III,12693,Sylvester Stallone,3,40s,572961,David Morrell,Action,15,105648,5.8,0
4000,Tonari no Totoro,810087,Hitoshi Takagi,1,+60s,557781,Hayao Miyazaki,Animation,11,227537,8.2,1
4001,Twins,12679,Arnold Schwarzenegger,3,40s,212373,William Davies,Comedy,3,100378,6.0,0
4002,Who Framed Roger Rabbit,11968,Bob Hoskins,3,40s,893937,Gary K. Wolf,Adventure,10,163993,7.7,1
4003,The Simpsons,140095,Dan Castellaneta,4,30s,132909,Michael Carrington,Animation,11,322308,8.7,1
4004,The Abyss,12901,Ed Harris,4,30s,12579,James Cameron,Adventure,10,148138,7.6,1
4005,Back to the Future Part II,12613,Michael J. Fox,5,20s,292990,Bob Gale,Adventure,10,408637,7.8,1
4006,Batman,12937,Michael Keaton,4,30s,18625,Bob Kane,Action,15,304927,7.5,1
4007,Dead Poets Society,12708,Robin Williams,4,30s,752372,Tom Schulman,Comedy,3,351275,8.1,1
4008,Ghostbusters II,12658,Bill Murray,4,30s,12564,Dan Aykroyd,Action,15,162538,6.5,0
4009,Glory,12574,Matthew Broderick,5,20s,400588,Kevin Jarre,Biography,17,111328,7.9,1
4010,"Honey, I Shrunk the Kids",12152,Rick Moranis,4,30s,13871,Stuart Gordon,Adventure,10,125320,6.3,0
4011,Indiana Jones and the Last Crusade,12611,Harrison Ford,3,40s,104395,Jeffrey Boam,Action,15,612154,8.3,1
4012,Lethal Weapon 2,12617,Mel Gibson,4,30s,104395,Jeffrey Boam,Action,15,145352,7.2,0
4013,The Little Mermaid,77557,Jodi Benson,5,20s,593499,John Musker,Animation,11,204571,7.6,1
4014,National Lampoon's Christmas Vacation,12794,Chevy Chase,3,40s,12918,John Hughes,Comedy,3,126203,7.6,1
4015,When Harry Met Sally...,12808,Billy Crystal,3,40s,11792,Nora Ephron,Comedy,3,172232,7.6,1
4016,The Fresh Prince of Bel-Air,386876,Janet Hubert,4,30s,110945,John Bowman,Comedy,3,104071,7.9,1
4017,Seinfeld,13095,Jerry Seinfeld,4,30s,484674,Carol Leifer,Comedy,3,214205,8.9,1
4018,Twin Peaks,12096,Kyle MacLachlan,4,30s,18567,Mark Frost,Crime,14,147708,8.8,1
4019,Austin Powers: The Spy Who Shagged Me,12659,Mike Myers,4,30s,12659,Mike Myers,Action,15,199444,6.6,0
4020,The Bone Collector,12706,Denzel Washington,3,40s,195787,Jeffery Deaver,Crime,14,137635,6.7,0
4021,Lara Croft: Tomb Raider,12005,Angelina Jolie,5,20s,159933,Sara B. Cooper,Action,15,181282,5.8,0
4022,Any Given Sunday,12662,Al Pacino,2,50s,13948,Daniel Pyne,Drama,1,105109,6.9,0
4023,High Fidelity,12594,John Cusack,4,30s,384318,Nick Hornby,Comedy,3,156042,7.5,1
4024,10 Things I Hate About You,17169,Heath Ledger,6,teenager,13099,William Shakespeare,Comedy,3,261301,7.3,1
4025,Cube,199848,Nicole de Boer,5,20s,80563,AndrÃ© Bijelic,Drama,1,185674,7.3,1
4026,Notting Hill,12887,Hugh Grant,4,30s,202934,Richard Curtis,Comedy,3,236283,7.1,0
4027,Man on the Moon,12583,Jim Carrey,4,30s,26742,Scott Alexander,Biography,17,114293,7.4,1
4028,Shrek,12659,Mike Myers,4,30s,789741,William Steig,Adventure,10,541180,7.9,1
4029,Rounders,12817,Matt Damon,5,20s,489731,David Levien,Crime,14,132617,7.3,1
4030,Rushmore,17439,Jason Schwartzman,6,teenager,44681,Wes Anderson,Comedy,3,153878,7.7,1
4031,You've Got Mail,12621,Tom Hanks,3,40s,515328,MiklÃ³s LÃ¡szlÃ³,Comedy,3,173185,6.6,0
4032,The Iron Giant,513420,Eli Marienthal,6,teenager,538239,Tim McCanlies,Action,15,152396,8.0,1
4033,There's Something About Mary,12602,Cameron Diaz,5,20s,268790,Bobby Farrelly,Comedy,3,269678,7.1,0
4034,Lola rennt,18829,Franka Potente,5,20s,839853,Tom Tykwer,Crime,14,176158,7.7,1
4035,The Matrix,12669,Keanu Reeves,4,30s,865595,Lilly Wachowski,Action,15,1450390,8.7,1
4036,Planet of the Apes,12705,Mark Wahlberg,5,20s,98230,Pierre Boulle,Action,15,198385,5.7,0
4037,The Faculty,105847,Jordana Brewster,6,teenager,859206,David Wechter,Horror,18,101394,6.5,0
4038,Scream 3,12737,David Arquette,5,20s,882531,Kevin Williamson,Horror,18,111663,5.6,0
4039,The Talented Mr. Ripley,12817,Matt Damon,5,20s,377631,Patricia Highsmith,Crime,14,157527,7.4,1
4040,8MM,12578,Nicolas Cage,4,30s,12429,Andrew Kevin Walker,Mystery,8,113858,6.5,0
4041,Pitch Black,569998,Radha Mitchell,5,20s,890711,Jim Wheat,Horror,18,210921,7.1,0
4042,Deep Blue Sea,17085,Thomas Jane,5,20s,20528,Duncan Kennedy,Action,15,112938,5.8,0
4043,Futurama,879060,Billy West,3,40s,174971,David X. Cohen,Animation,11,188293,8.5,1
4044,Family Guy,497248,Seth MacFarlane,5,20s,348091,Matt Harrigan,Animation,11,274611,8.2,1
4045,"Me, Myself & Irene",12583,Jim Carrey,4,30s,268800,Peter Farrelly,Comedy,3,205656,6.6,0
4046,Phone Booth,268626,Colin Farrell,5,20s,175179,Larry Cohen,Crime,14,231830,7.1,0
4047,A Knight's Tale,17169,Heath Ledger,5,20s,11942,Brian Helgeland,Action,15,153893,6.9,0
4048,Shanghai Noon,12792,Jackie Chan,3,40s,570337,Miles Millar,Action,15,109118,6.6,0
4049,Band of Brothers,339023,Scott Grimes,5,20s,34007,Stephen Ambrose,Action,15,300979,9.5,1
4050,The Blair Witch Project,234636,Heather Donahue,5,20s,591195,Daniel Myrick,Horror,18,212302,6.4,0
4051,Gone in Sixty Seconds,12578,Nicolas Cage,4,30s,340267,H.B. Halicki,Action,15,240900,6.5,0
4052,The Patriot,12617,Mel Gibson,3,40s,708419,Robert Rodat,Action,15,231986,7.2,0
4053,Blade II,13111,Wesley Snipes,4,30s,893199,Marv Wolfman,Action,15,181627,6.7,0
4054,Toy Story,12621,Tom Hanks,4,30s,17161,John Lasseter,Adventure,10,761036,8.3,1
4055,Twelve Monkeys,12709,Bruce Willis,4,30s,20636,Chris Marker,Mystery,8,530283,8.0,1
4056,The Usual Suspects,12691,Kevin Spacey,4,30s,20390,Christopher McQuarrie,Crime,14,877061,8.6,1
4057,Waterworld,12589,Kevin Costner,4,30s,669759,Peter Rader,Action,15,162205,6.2,0
4058,The Cable Guy,12583,Jim Carrey,4,30s,390847,Lou Holtz Jr.,Comedy,3,137887,6.1,0
4059,The English Patient,12609,Ralph Fiennes,4,30s,622135,Michael Ondaatje,Drama,1,161977,7.4,1
4060,Fargo,12976,William H. Macy,3,40s,11657,Ethan Coen,Crime,14,544004,8.1,1
4061,From Dusk Till Dawn,12635,Harvey Keitel,2,50s,470248,Robert Kurtzman,Action,15,252310,7.3,1
4062,Happy Gilmore,11795,Adam Sandler,5,20s,369242,Tim Herlihy,Comedy,3,176238,7.0,0
4063,The Hunchback of Notre Dame,12656,Demi Moore,4,30s,596166,Tab Murphy,Animation,11,122520,6.9,0
4064,Independence Day,12689,Will Smith,5,20s,13574,Dean Devlin,Action,15,483765,7.0,0
4065,Jerry Maguire,12592,Tom Cruise,4,30s,11685,Cameron Crowe,Comedy,3,216898,7.3,1
4066,Lost Highway,13060,Bill Pullman,3,40s,12649,David Lynch,Mystery,8,115044,7.6,1
4067,Mars Attacks!,12660,Jack Nicholson,2,50s,101782,Len Brown,Comedy,3,192086,6.3,0
4068,Matilda,12825,Danny DeVito,2,50s,11698,Roald Dahl,Comedy,3,106741,6.9,0
4069,Mission: Impossible,12592,Tom Cruise,4,30s,305010,Bruce Geller,Action,15,349077,7.1,0
4070,Primal Fear,12615,Richard Gere,3,40s,228418,William Diehl,Crime,14,157323,7.7,1
4071,Ransom,12617,Mel Gibson,4,30s,374134,Cyril Hume,Action,15,109020,6.6,0
4072,The Rock,12588,Sean Connery,1,+60s,885841,David Weisberg,Action,15,286977,7.4,1
4073,Romeo + Juliet,12601,Leonardo DiCaprio,5,20s,13099,William Shakespeare,Drama,1,190361,6.8,0
4074,Scream,12580,Neve Campbell,5,20s,882531,Kevin Williamson,Horror,18,254946,7.2,0
4075,Sleepers,12597,Robert De Niro,2,50s,148173,Lorenzo Carcaterra,Crime,14,171720,7.6,1
4076,Space Jam,20274,Michael Jordan,4,30s,1260343,Leo Benvenuti,Adventure,10,135917,6.4,0
4077,Star Trek: First Contact,12376,Patrick Stewart,2,50s,708449,Gene Roddenberry,Action,15,108020,7.6,1
4078,A Time to Kill,12653,Matthew McConaughey,5,20s,11904,John Grisham,Crime,14,115946,7.4,1
4079,Trainspotting,12654,Ewan McGregor,5,20s,880001,Irvine Welsh,Drama,1,572941,8.2,1
4080,Twister,12629,Helen Hunt,4,30s,12804,Michael Crichton,Action,15,158926,6.3,0
4081,Buffy the Vampire Slayer,11868,Sarah Michelle Gellar,6,teenager,890799,Joss Whedon,Action,15,115271,8.2,1
4082,Air Force One,12611,Harrison Ford,2,50s,523566,Andrew W. Marlowe,Action,15,163570,6.5,0
4083,Alien: Resurrection,12707,Sigourney Weaver,3,40s,623984,Dan O'Bannon,Action,15,204752,6.2,0
4084,Anastasia,12675,Meg Ryan,4,30s,308943,Susan Gauthier,Adventure,10,100325,7.1,0
4085,Austin Powers: International Man of Mystery,12659,Mike Myers,4,30s,12659,Mike Myers,Adventure,10,202044,7.0,0
4086,Batman & Robin,12679,Arnold Schwarzenegger,3,40s,18625,Bob Kane,Action,15,212887,3.7,0
4087,Faa yeung nin wa,489152,Tony Chiu-Wai Leung,4,30s,896715,Kar-Wai Wong,Drama,1,101083,8.1,1
4088,The Big Lebowski,12776,Jeff Bridges,3,40s,11657,Ethan Coen,Comedy,3,639529,8.1,1
4089,Boogie Nights,12705,Mark Wahlberg,5,20s,13222,Paul Thomas Anderson,Drama,1,215045,7.9,1
4090,La vita Ã¨ bella,13367,Roberto Benigni,3,40s,155611,Vincenzo Cerami,Comedy,3,528794,8.6,1
4091,Chasing Amy,12718,Ben Affleck,5,20s,20845,Kevin Smith,Comedy,3,123405,7.3,1
4092,Con Air,12578,Nicolas Cage,4,30s,20526,Scott Rosenberg,Action,15,251292,6.8,0
4093,Contact,12612,Jodie Foster,4,30s,366374,James V. Hart,Drama,1,229965,7.4,1
4094,Dark City,12326,Rufus Sewell,4,30s,12243,Alex Proyas,Mystery,8,174201,7.7,1
4095,The Devil's Advocate,12669,Keanu Reeves,4,30s,18283,Andrew Neiderman,Drama,1,294486,7.5,1
4096,Donnie Brasco,12662,Al Pacino,2,50s,647713,Joseph D. Pistone,Biography,17,250488,7.8,1
4097,Event Horizon,12864,Laurence Fishburne,4,30s,253405,Philip Eisner,Horror,18,139577,6.7,0
4098,Face/Off,12700,John Travolta,3,40s,105833,Mike Werb,Action,15,318168,7.3,1
4099,Le cinquiÃ¨me Ã©lÃ©ment,12709,Bruce Willis,3,40s,12571,Luc Besson,Action,15,391695,7.7,1
4100,The Game,12603,Michael Douglas,2,50s,106604,John Brancato,Drama,1,305799,7.8,1
4101,Gattaca,12623,Ethan Hawke,5,20s,613719,Andrew Niccol,Drama,1,253268,7.8,1
4102,Good Will Hunting,12708,Robin Williams,3,40s,12817,Matt Damon,Drama,1,739385,8.3,1
4103,Hercules,16920,Tate Donovan,4,30s,166564,Ron Clements,Adventure,10,174824,7.3,1
4104,I Know What You Did Last Summer,11953,Jennifer Love Hewitt,6,teenager,243693,Lois Duncan,Horror,18,120014,5.7,0
4105,Jackie Brown,12890,Pam Grier,3,40s,12696,Quentin Tarantino,Crime,14,273446,7.5,1
4106,L.A. Confidential,12691,Kevin Spacey,4,30s,241499,James Ellroy,Crime,14,480221,8.3,1
4107,Liar Liar,12583,Jim Carrey,4,30s,346195,Paul Guay,Comedy,3,252184,6.9,0
4108,The Lost World: Jurassic Park,12619,Jeff Goldblum,3,40s,12804,Michael Crichton,Action,15,332155,6.5,0
4109,Meet Joe Black,12556,Brad Pitt,4,30s,626234,Ron Osborn,Drama,1,190032,7.2,0
4110,Men in Black,12632,Tommy Lee Jones,2,50s,182008,Lowell Cunningham,Adventure,10,461632,7.3,1
4111,Mononoke-hime,528923,YÃ´ji Matsuda,5,20s,557781,Hayao Miyazaki,Adventure,10,282075,8.4,1
4112,My Best Friend's Wedding,12673,Julia Roberts,5,20s,71144,Ronald Bass,Comedy,3,113027,6.3,0
4113,As Good as It Gets,12660,Jack Nicholson,2,50s,37414,Mark Andrus,Comedy,3,248413,7.7,1
4114,Scream 2,12580,Neve Campbell,5,20s,882531,Kevin Williamson,Horror,18,141186,6.1,0
4115,Seven Years in Tibet,12556,Brad Pitt,4,30s,348045,Heinrich Harrer,Adventure,10,109659,7.0,0
4116,Three Kings,12586,George Clooney,4,30s,697348,John Ridley,Action,15,150335,7.1,0
4117,Starship Troopers,13143,Casper Van Dien,5,20s,586637,Edward Neumeier,Action,15,246467,7.2,0
4118,Titanic,12601,Leonardo DiCaprio,5,20s,12579,James Cameron,Drama,1,921227,7.8,1
4119,Tomorrow Never Dies,12575,Pierce Brosnan,3,40s,256211,Bruce Feirstein,Action,15,164846,6.5,0
4120,Toy Story 2,12621,Tom Hanks,3,40s,17161,John Lasseter,Adventure,10,451439,7.9,1
4121,The Truman Show,12583,Jim Carrey,4,30s,613719,Andrew Niccol,Comedy,3,807847,8.1,1
4122,The Waterboy,11795,Adam Sandler,4,30s,369242,Tim Herlihy,Comedy,3,134340,6.1,0
4123,American History X,12174,Edward Norton,5,20s,559455,David McKenna,Crime,14,921497,8.5,1
4124,Antz,12558,Woody Allen,1,+60s,30273,Todd Alcott,Adventure,10,136492,6.6,0
4125,Armageddon,12709,Bruce Willis,3,40s,372611,Jonathan Hensleigh,Action,15,361247,6.7,0
4126,Being John Malkovich,12594,John Cusack,4,30s,428806,Charlie Kaufman,Comedy,3,283197,7.8,1
4127,Blade,13111,Wesley Snipes,4,30s,318729,David S. Goyer,Action,15,219911,7.1,0
4128,The Mummy,12872,Brendan Fraser,4,30s,783251,Stephen Sommers,Action,15,357866,7.0,0
4129,A Bug's Life,12691,Kevin Spacey,4,30s,17161,John Lasseter,Adventure,10,241245,7.2,0
4130,Chicken Run,12617,Mel Gibson,3,40s,503791,Peter Lord,Adventure,10,159406,7.0,0
4131,City of Angels,12578,Nicolas Cage,4,30s,13157,Wim Wenders,Drama,1,104920,6.7,0
4132,Deep Impact,12843,Robert Duvall,1,+60s,710032,Bruce Joel Rubin,Action,15,148354,6.2,0
4133,Dogma,12718,Ben Affleck,5,20s,20845,Kevin Smith,Adventure,10,195438,7.3,1
4134,The 13th Warrior,12567,Antonio Banderas,4,30s,12804,Michael Crichton,Action,15,109132,6.6,0
4135,Enemy of the State,12689,Will Smith,5,20s,530869,David Marconi,Action,15,209290,7.3,1
4136,Eyes Wide Shut,12592,Tom Cruise,4,30s,12503,Stanley Kubrick,Drama,1,264755,7.4,1
4137,Fantastic Four,333893,Ioan Gruffudd,4,30s,18567,Mark Frost,Action,15,291479,5.7,0
4138,Fear and Loathing in Las Vegas,12599,Johnny Depp,4,30s,831180,Hunter S. Thompson,Adventure,10,237442,7.7,1
4139,From Hell,12599,Johnny Depp,4,30s,577316,Alan Moore,Horror,18,137111,6.8,0
4140,Godzilla,12574,Matthew Broderick,4,30s,13574,Dean Devlin,Action,15,167069,5.3,0
4141,The Green Mile,12621,Tom Hanks,3,40s,12638,Stephen King,Crime,14,968817,8.5,1
4142,"Lock, Stock and Two Smoking Barrels",13609,Jason Flemyng,4,30s,17399,Guy Ritchie,Comedy,3,480512,8.2,1
4143,The Lord of the Rings: The Fellowship of the Ring,13167,Elijah Wood,6,teenager,832051,J.R.R. Tolkien,Adventure,10,1455521,8.8,1
4144,The Man in the Iron Mask,12601,Leonardo DiCaprio,5,20s,243104,Alexandre Dumas,Action,15,142458,6.5,0
4145,The Mask of Zorro,12567,Antonio Banderas,4,30s,184769,Johnston McCulley,Action,15,152815,6.7,0
4146,Mission: Impossible II,12592,Tom Cruise,4,30s,305010,Bruce Geller,Action,15,282301,6.1,0
4147,Mulan,12444,Ming-Na Wen,4,30s,737834,Robert D. San Souci,Adventure,10,212640,7.6,1
4148,The Negotiator,12631,Samuel L. Jackson,3,40s,216144,James DeMonaco,Action,15,119652,7.3,1
4149,The Parent Trap,493885,Lindsay Lohan,6,teenager,466652,Erich KÃ¤stner,Adventure,10,104819,6.5,0
4150,Payback,12617,Mel Gibson,3,40s,878558,Donald E. Westlake,Action,15,122621,7.1,0
4151,Pleasantville,12101,Tobey Maguire,5,20s,14188,Gary Ross,Comedy,3,112647,7.5,1
4152,The Prince of Egypt,12637,Val Kilmer,4,30s,476015,Philip LaZebnik,Adventure,10,105246,7.1,0
4153,Resident Evil,12633,Milla Jovovich,5,20s,44405,Paul W.S. Anderson,Action,15,226589,6.7,0
4154,Rush Hour,12792,Jackie Chan,3,40s,475809,Ross LaManna,Action,15,213963,7.0,0
4155,Saving Private Ryan,12621,Tom Hanks,3,40s,708419,Robert Rodat,Drama,1,1066004,8.6,1
4156,Tarzan,11886,Tony Goldwyn,4,30s,596166,Tab Murphy,Adventure,10,174555,7.3,1
4157,The Thin Red Line,11633,Jim Caviezel,5,20s,405166,James Jones,Drama,1,157157,7.6,1
4158,The Wedding Singer,11795,Adam Sandler,4,30s,369242,Tim Herlihy,Comedy,3,122101,6.8,0
4159,Wild Wild West,12689,Will Smith,4,30s,820112,Jim Thomas,Action,15,142042,4.9,0
4160,X-Men,12376,Patrick Stewart,2,50s,223766,Tom DeSanto,Action,15,520521,7.4,1
4161,Men in Black II,12632,Tommy Lee Jones,2,50s,182008,Lowell Cunningham,Action,15,302105,6.1,0
4162,Star Wars: Episode I - The Phantom Menace,12654,Ewan McGregor,5,20s,12647,George Lucas,Action,15,633668,6.5,0
4163,The Emperor's New Groove,17486,David Spade,4,30s,892254,Chris Williams,Adventure,10,154199,7.3,1
4164,Corpse Bride,12599,Johnny Depp,3,40s,12781,Tim Burton,Animation,11,218181,7.4,1
4165,Star Wars: Episode II - Attack of the Clones,160925,Hayden Christensen,5,20s,12647,George Lucas,Action,15,555539,6.6,0
4166,Star Wars: Episode III - Revenge of the Sith,160925,Hayden Christensen,5,20s,12647,George Lucas,Action,15,619565,7.6,1
4167,South Park,17331,Trey Parker,5,20s,17331,Trey Parker,Animation,11,290758,8.7,1
4168,Lethal Weapon 4,12617,Mel Gibson,3,40s,11552,Shane Black,Action,15,140847,6.6,0
4169,Ronin,12597,Robert De Niro,2,50s,908048,J.D. Zeik,Action,15,158909,7.3,1
4170,Analyze This,12597,Robert De Niro,2,50s,509705,Kenneth Lonergan,Comedy,3,135592,6.7,0
4171,American Pie,16792,Jason Biggs,5,20s,360679,Adam Herz,Comedy,3,345489,7.0,0
4172,The Beach,12601,Leonardo DiCaprio,5,20s,386279,John Hodge,Adventure,10,202860,6.6,0
4173,Hollow Man,12565,Kevin Bacon,3,40s,831119,Gary Scott Thompson,Action,15,112708,5.7,0
4174,Stuart Little,12613,Michael J. Fox,4,30s,887231,E.B. White,Adventure,10,111064,5.9,0
4175,That '70s Show,322768,Topher Grace,6,teenager,115311,Mark Brazill,Comedy,3,136011,8.1,1
4176,Mulholland Dr.,873249,Naomi Watts,4,30s,12649,David Lynch,Drama,1,282861,8.0,1
4177,Hellboy,13042,Ron Perlman,2,50s,815231,Guillermo del Toro,Action,15,277234,6.9,0
4178,The Lord of the Rings: The Return of the King,13167,Elijah Wood,5,20s,832051,J.R.R. Tolkien,Action,15,1438839,8.9,1
4179,The Lord of the Rings: The Two Towers,13167,Elijah Wood,5,20s,832051,J.R.R. Tolkien,Adventure,10,1300755,8.7,1
4180,The Sixth Sense,12709,Bruce Willis,3,40s,751620,M. Night Shyamalan,Drama,1,820731,8.1,1
4181,American Beauty,12691,Kevin Spacey,4,30s,56816,Alan Ball,Drama,1,963165,8.4,1
